name,mentions,name_pos,cap_ratio,first_pct
Алистер,4,True,1.0,0.7
Альф,4,True,1.0,4.2
Чернолесье,4,False,1.0,0.8
Тао,4,False,1.0,1.0
Маршал,4,False,0.67,0.7
Блосса,4,False,1.0,0.7
Царь-пастух,3,False,1.0,1.4
Завязаться,3,False,0.6,75.6
Белоснежок,3,False,1.0,17.1
Карди,3,True,1.0,65.9
Дук-тот,3,False,1.0,37.0
Форэйский,3,False,0.6,0.9
Лютериус,3,False,1.0,0.4
Афган,3,True,1.0,66.4
Горьковатый,3,False,0.75,65.2
Крол-роять,3,False,1.0,64.0
Септима,3,False,1.0,0.4
Инквизиция,3,False,1.0,72.8
Браный,3,False,1.0,0.8
Дейзи,3,False,1.0,79.5
Лей,3,False,1.0,0.3
Гримматизм,3,False,1.0,97.5
Коул,3,False,1.0,0.5
Собор,3,False,0.75,45.4
Гайкотс,3,True,1.0,1.3
Хрисаор,3,False,1.0,36.9
Алломунд,3,True,1.0,0.8
Астра,3,False,1.0,15.0
Вот-вот,3,False,1.0,15.1
Роуд,3,False,1.0,44.7
Кросс-континентальный,3,False,1.0,15.3
Гидра,3,False,1.0,0.3
Аркадий,3,True,1.0,35.1
Клермонский,3,False,0.75,1.8
Бикон,3,False,1.0,2.0
Запротестовать,3,False,1.0,20.8
Цугнус,3,False,1.0,0.4
Йонить,3,False,1.0,0.4
Сёгунат,3,False,1.0,0.9
Созыв,3,False,0.75,1.0
Миять,3,False,1.0,20.6
Филиппеть,3,False,1.0,0.9
Кукловод,3,False,1.0,68.5
Уууа,3,True,1.0,20.7
Майнсесть,3,False,1.0,41.0
Блэквэлла,3,True,1.0,19.7
Анти-титан,3,False,1.0,68.8
Жонни-бой,3,True,1.0,21.9
Ларка,3,False,1.0,21.0
Карамбира,3,False,1.0,69.0
Блеквелл,3,False,1.0,73.7
